dataset,seed,M,L_k,disp_walk,disp_filtered,accept,energy,f1,gmean
NATOPS,0,0.5,0.25403485082304533,0.21378091269248425,0.19284328928122096,0.8385093167701864,1.3822747258981147,0.8928571428571429,0.9098229375970788
NATOPS,0,0.8,0.3713136458798354,0.2112173469698883,0.23529293786009117,0.7894736842105263,1.2700021751344712,0.8928571428571429,0.9098229375970788
NATOPS,0,1.1,0.5800286456921812,0.30489382411649524,0.3381182399390979,0.678391959798995,1.1789459330441021,0.8928571428571429,0.9098229375970788
NATOPS,0,1.4,0.8751304282600822,0.4685163536696174,0.4389979423156003,0.6716417910447762,1.0672622476025149,0.9122807017543859,0.927840982544363
NATOPS,0,1.7,1.3073026835835393,0.7161558680391613,0.5413618734075241,0.6521739130434783,1.0019175042765598,0.9122807017543859,0.927840982544363
NATOPS,0,2.0,1.9958847736625516,1.1005008984001883,0.6346234656669713,0.6553398058252428,0.9372878425389075,0.9310344827586207,0.9455157322858251
NATOPS,0,2.3,3.2369064364971187,1.747350477056547,0.7593590581692681,0.6553398058252428,0.8812890999594849,0.9310344827586207,0.9455157322858251
NATOPS,0,2.6,5.845308394087244,2.9544826809185447,0.9240760223170975,0.6683168316831684,0.8731850212824641,0.9666666666666667,0.9799092928543041
NATOPS,1,0.5,0.25403485082304533,0.31466674907297976,0.2496833990509208,0.9712230215827338,3.0179747122232214,0.8,0.816496580927726
NATOPS,1,0.8,0.3713136458798354,0.29487253563996574,0.2278243829037901,0.9375,2.8277163774599536,0.8235294117647058,0.8366600265340756
NATOPS,1,1.1,0.5800286456921812,0.3690483163346585,0.23036879833568943,0.8709677419354839,2.8207071111804574,0.8679245283018868,0.8755950357709131
NATOPS,1,1.4,0.8751304282600822,0.5167424647501863,0.2649351862473388,0.8282208588957055,2.545356312240825,0.8679245283018868,0.8755950357709131
NATOPS,1,1.7,1.3073026835835393,0.7408784861414794,0.29779998490705456,0.84375,2.3538279813459013,0.8888888888888888,0.8944271909999159
NATOPS,1,2.0,1.9958847736625516,1.0643742278526984,0.3419189985181965,0.8132530120481928,2.1018774990865197,0.8727272727272727,0.8914407813571615
NATOPS,1,2.3,3.2369064364971187,1.548665430537321,0.3754609743765841,0.7758620689655172,2.1388670618652963,0.8727272727272727,0.8914407813571615
NATOPS,1,2.6,5.845308394087244,2.362406751216525,0.42307464376032766,0.7627118644067796,2.1812747459821775,0.8727272727272727,0.8914407813571615
NATOPS,2,0.5,0.25403485082304533,0.20030136270977072,0.16197354541203546,1.0,1.3973776560738447,0.7755102040816326,0.7958224257542215
NATOPS,2,0.8,0.3713136458798354,0.17378729431109985,0.17016980073400753,1.0,1.4005812754306923,0.8,0.816496580927726
NATOPS,2,1.1,0.5800286456921812,0.23130634337642333,0.2310422356890148,1.0,1.2615754456381474,0.8235294117647058,0.8366600265340756
NATOPS,2,1.4,0.8751304282600822,0.34384497368554734,0.3099111935274402,1.0,1.1189165543955255,0.8888888888888888,0.8944271909999159
NATOPS,2,1.7,1.3073026835835393,0.5194172213754666,0.40045711090595093,1.0,0.9996679778395743,0.8679245283018868,0.8755950357709131
NATOPS,2,2.0,1.9958847736625516,0.7926141934212888,0.5101412021659001,1.0,0.8954625065990358,0.9090909090909091,0.9128709291752769
NATOPS,2,2.3,3.2369064364971187,1.2602564649091526,0.6285301125597165,0.9926470588235294,0.8054320020240047,0.8888888888888888,0.8944271909999159
NATOPS,2,2.6,5.845308394087244,2.2304567132274755,0.7339391671410194,0.9926470588235294,0.7368924377071338,0.8888888888888888,0.8944271909999159
Epilepsy,0,0.5,0.25403485082304533,0.1345190896050685,0.10524661190389496,1.0,0.4676320405863914,0.8484848484848485,0.8656004364605815
Epilepsy,0,0.8,0.3713136458798354,0.17430585526451847,0.18472397874243446,1.0,0.3997599321856591,0.8484848484848485,0.8656004364605815
Epilepsy,0,1.1,0.5800286456921812,0.30781279106673337,0.3574904735045706,1.0,0.32366587041624073,0.835820895522388,0.8612615598322857
Epilepsy,0,1.4,0.8751304282600822,0.5127636888012596,0.5891761478606713,1.0,0.2769094720842482,0.8695652173913043,0.891490410038602
Epilepsy,0,1.7,1.3073026835835393,0.8129251181027348,0.8084362402699989,1.0,0.2586006203924367,0.8857142857142857,0.9062267870482649
Epilepsy,0,2.0,1.9958847736625516,1.2760665080110516,1.006174135826724,1.0,0.2527558165310244,0.8857142857142857,0.9062267870482649
Epilepsy,0,2.3,3.2369064364971187,2.059386762430256,1.1853802312405446,1.0,0.2554950577921138,0.9014084507042254,0.920727336368834
Epilepsy,0,2.6,5.845308394087244,3.529853494287685,1.3511533203793396,1.0,0.2644073503080666,0.9014084507042254,0.920727336368834
Epilepsy,1,0.5,0.25403485082304533,0.16261679325344527,0.11311744644861915,1.0,0.5710668551899998,0.8253968253968254,0.8382736442849095
Epilepsy,1,0.8,0.3713136458798354,0.2081105867478197,0.19073456225913163,1.0,0.4841679687738596,0.8615384615384616,0.86991767240168
Epilepsy,1,1.1,0.5800286456921812,0.3517454237441825,0.3418664452892024,1.0,0.40003567604920276,0.8615384615384616,0.86991767240168
Epilepsy,1,1.4,0.8751304282600822,0.5783812107409502,0.52021493655068,1.0,0.35315414877601103,0.8656716417910447,0.8809219876361221
Epilepsy,1,1.7,1.3073026835835393,0.9233467845813396,0.7192470767233927,1.0,0.3332260877453126,0.8656716417910447,0.8809219876361221
Epilepsy,1,2.0,1.9958847736625516,1.4686565676461603,0.9257017275930665,1.0,0.3334467743295835,0.8529411764705882,0.8765063107689347
Epilepsy,1,2.3,3.2369064364971187,2.408553028431662,1.1329838137004276,1.0,0.3449189289167398,0.8529411764705882,0.8765063107689347
Epilepsy,1,2.6,5.845308394087244,4.297229294355729,1.3198422824139777,1.0,0.3592091831746238,0.8695652173913043,0.891490410038602
