f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,n_feat,n_channels,length,energy_syn,mmd_syn,disp_ratio,accept,M
0.8655737704918033,0.8734723214669307,0.8801509587923296,0.9912431811656619,0.09571657488392182,0.1897181729834791,ItalyPowerDemand,0,5,4.7,7,26,none (raw-flat RF),0.645,1.512345963560552,,,,,,,,
0.6649417852522639,0.7057350887577264,0.7475803526905118,0.967549148495701,0.1613050102580715,0.23395853579527048,ItalyPowerDemand,0,5,4.7,7,26,none,0.645,1.512345963560552,60.0,1.0,24.0,,,,,
0.7550776583034647,0.7787388905384358,0.8002402647445487,0.9645307281986188,0.13395114998380306,0.18976352445740202,ItalyPowerDemand,0,5,4.7,7,26,SMOTE-raw,0.645,1.512345963560552,60.0,1.0,24.0,1.6134451520982775,0.1441736221967801,0.6516082953919244,,
0.7146401985111662,0.7456296347997319,0.7758567931456548,0.9672582619339045,0.14281290357412807,0.20488824101069,ItalyPowerDemand,0,5,4.7,7,26,chain-mean-GPF (PSSTO-style),0.645,1.512345963560552,60.0,1.0,24.0,1.83690802204422,0.16993991432954403,0.4033364225023064,,
0.7075,0.7398516809772145,0.7719524910467384,0.9747438687157169,0.1404274268437534,0.21250404923874314,ItalyPowerDemand,0,5,4.7,7,26,KNNOR-GPF (M=1),0.645,1.512345963560552,60.0,1.0,24.0,2.5423580011360105,0.28715775310674974,0.12633377021348466,1.0,1.0
0.7436208991494532,0.7693291006207158,0.7943696450428397,0.9778246218474695,0.13007748623258825,0.20751538710722384,ItalyPowerDemand,0,5,4.7,7,26,KNNOR-GPF (M calibrated),0.645,1.512345963560552,60.0,1.0,24.0,2.3012385404509708,0.25930753096946957,0.2776482300315515,0.896551724137931,2.0
0.8453837597330367,0.855644480092943,0.8645564168819982,0.9799854934493858,0.10843822481373501,0.1801684483317137,ItalyPowerDemand,0,5,4.7,7,26,hybrid GPF-nbrs/raw-walk (M calibrated),0.645,1.512345963560552,60.0,1.0,24.0,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,2.0
0.7460510328068044,0.7713373064425689,0.7963132961602974,0.9746928691237137,0.13603149767843645,0.20656624554583744,ItalyPowerDemand,0,5,4.7,7,26,KNNOR-official-GPF (randmx=1),0.645,1.512345963560552,60.0,1.0,24.0,2.7156748481254382,0.29236267964331364,0.14980958924864946,0.8387096774193549,1.0
0.7396593673965937,0.7660616269646853,0.7914513350559862,0.9747382020943832,0.1360677140697549,0.20619695497246515,ItalyPowerDemand,0,5,4.7,7,26,KNNOR-official-GPF (randmx=M*),0.645,1.512345963560552,60.0,1.0,24.0,2.4345306543671814,0.2565146265495034,0.10151063273117858,0.6341463414634146,2.0
0.7754137115839244,0.7957265311223946,0.8148431479214833,0.9726623298124726,0.12919588597343698,0.20045027534823456,ItalyPowerDemand,0,5,4.7,7,26,KNNOR-official-raw (randmx=1),0.645,1.512345963560552,60.0,1.0,24.0,4.507775004713052,0.36766249871032397,0.47094615609510315,1.0,1.0
0.8182857142857143,0.8321334123729365,0.8450519062514166,0.9764362996207141,0.1163308821941475,0.18105280207321028,ItalyPowerDemand,0,5,4.7,7,26,hybrid GPF-nbrs/raw-walk (M raw-calibrated),0.645,1.512345963560552,60.0,1.0,24.0,1.4606736850794633,0.14139227212208716,0.7278172987225582,0.40625,1.7999999999999998
